0	0
1.17E-02	-2.67E-06
2.34E-02	-8.97E-06
3.50E-02	-9.02E-06
4.09E-02	-1.21E-05
5.25E-02	-1.77E-05
6.42E-02	-1.80E-05
7.58E-02	-2.53E-05
8.16E-02	-2.63E-05
9.32E-02	-2.71E-05
1.05E-01	-3.42E-05
1.11E-01	-3.48E-05
1.22E-01	-3.62E-05
1.34E-01	-4.30E-05
1.45E-01	-4.29E-05
1.51E-01	-4.53E-05
1.63E-01	-5.15E-05
1.74E-01	-5.14E-05
1.86E-01	-5.83E-05
1.91E-01	-5.98E-05
2.03E-01	-6.01E-05
2.14E-01	-6.71E-05
2.26E-01	-6.73E-05
2.31E-01	-6.88E-05
2.43E-01	-7.56E-05
2.54E-01	-7.54E-05
2.60E-01	-7.77E-05
2.71E-01	-8.38E-05
2.83E-01	-8.36E-05
2.94E-01	-9.04E-05
3.06E-01	-9.11E-05
3.11E-01	-9.20E-05
3.23E-01	-9.89E-05
3.34E-01	-9.88E-05
3.45E-01	-1.04E-04
3.51E-01	-1.07E-04
3.62E-01	-1.07E-04
3.73E-01	-1.13E-04
3.85E-01	-1.14E-04
3.90E-01	-1.15E-04
4.02E-01	-1.22E-04
4.13E-01	-1.22E-04
4.24E-01	-1.27E-04
4.35E-01	-1.30E-04
4.41E-01	-1.29E-04
4.52E-01	-1.35E-04
4.63E-01	-1.37E-04
4.75E-01	-1.40E-04
4.80E-01	-1.44E-04
4.91E-01	-1.44E-04
5.02E-01	-1.49E-04
5.14E-01	-1.51E-04
5.25E-01	-1.53E-04
5.30E-01	-1.57E-04
5.41E-01	-1.58E-04
5.52E-01	-1.62E-04
5.63E-01	-1.66E-04
5.75E-01	-1.66E-04
5.80E-01	-1.70E-04
5.91E-01	-1.72E-04
6.02E-01	-1.75E-04
6.13E-01	-1.80E-04
6.24E-01	-1.80E-04
6.35E-01	-1.86E-04
6.41E-01	-1.87E-04
6.52E-01	-1.88E-04
6.63E-01	-1.93E-04
6.74E-01	-1.93E-04
6.85E-01	-1.99E-04
6.90E-01	-2.00E-04
7.01E-01	-2.00E-04
7.12E-01	-2.07E-04
7.23E-01	-2.06E-04
7.34E-01	-2.12E-04
7.45E-01	-2.13E-04
7.55E-01	-2.16E-04
7.61E-01	-2.20E-04
7.72E-01	-2.19E-04
7.83E-01	-2.24E-04
7.93E-01	-2.26E-04
8.04E-01	-2.29E-04
8.15E-01	-2.33E-04
8.20E-01	-2.32E-04
8.31E-01	-2.37E-04
8.42E-01	-2.39E-04
8.53E-01	-2.41E-04
8.63E-01	-2.46E-04
8.74E-01	-2.45E-04
8.85E-01	-2.52E-04
8.90E-01	-2.51E-04
9.01E-01	-2.53E-04
9.12E-01	-2.58E-04
9.22E-01	-2.58E-04
9.33E-01	-2.64E-04
9.44E-01	-2.63E-04
9.54E-01	-2.68E-04
9.65E-01	-2.69E-04
9.75E-01	-2.72E-04
9.80E-01	-2.75E-04
9.90E-01	-2.75E-04
1	-2.79E-04
